assessment_id,question_order,scenario,question,option_a,option_b,option_c,option_d,correct_answer,explanation,competency_id,assessment_level_id,difficulty_weight,is_active
00000000-0000-0000-0000-000000000001,1,"Sarah, a 38-year-old marketing director, is tearfully sharing how she feels lost after being passed over for a promotion she expected. She's questioning whether to stay in her company of 10 years or risk starting over elsewhere.",How should you listen as Sarah shares this emotional career setback?,Focus on how her story relates to your own career disappointments,Listen deeply to both her words and the emotions behind them,Consider what her colleagues might think about her situation,Think about advice you could give her about job searching,2,"When someone is emotional, they need to feel truly heard. Listening to both their words and feelings shows you're really there with them, not just waiting for your turn to talk.",8ff9f6ae-42e9-43af-a8a3-39f8066a2df0,9f6e38cc-8f1b-4ab9-b019-a5f5be0c3132,1.0,true
00000000-0000-0000-0000-000000000001,2,"Marcus, an entrepreneur, is rapidly listing multiple business decisions he needs to make: whether to hire his first employee, move to a larger office space, and take on a major client project - all while his personal savings are running low.",How do you best reflect back what you're hearing from Marcus?,I went through something similar when I started my business - it's really tough.,What I'm hearing is that you're juggling multiple major decisions while feeling financial pressure.,Don't stress about it - most entrepreneurs face these challenges.,Have you considered prioritizing just one decision at a time?,2,"Great reflection is like being a clear mirror - you show Marcus exactly what he shared so he knows you really got it. No advice needed, just genuine understanding.",8ff9f6ae-42e9-43af-a8a3-39f8066a2df0,9f6e38cc-8f1b-4ab9-b019-a5f5be0c3132,1.0,true
00000000-0000-0000-0000-000000000001,3,"Kevin, a usually reserved accountant, takes a deep breath and quietly shares: 'I've never told anyone this, but I've been struggling with anxiety attacks before important presentations. It's affecting my career prospects.'",How do you best respond to Kevin's vulnerable disclosure to build trust and safety?,"Kevin, that's interesting - can you tell me more about when these anxiety attacks typically happen?","I can see why that would be really difficult to deal with, especially in your profession.","Thank you for trusting me with something so personal, Kevin. What feels most important about this for you right now?",You should be proud of yourself for having the courage to share that with me.,3,"When someone shares something deeply personal, thanking them for their trust creates a safe space. It shows you honor their vulnerability instead of rushing to fix or judge.",8ff9f6ae-42e9-43af-a8a3-39f8066a2df0,9f6e38cc-8f1b-4ab9-b019-a5f5be0c3132,1.0,true
00000000-0000-0000-0000-000000000001,4,"Patricia, a department head, is second-guessing her decision to restructure her team after two employees expressed concerns. She's worried she may have acted too hastily and damaged team morale.",How do you best support Patricia while maintaining psychological safety in the coaching space?,"Patricia, I hear you questioning your restructuring decision, and I'm curious what feels most important to explore about that.","Based on what you've shared about the employee concerns, here's what I think you should do next...",That sounds like a really challenging leadership situation that many department heads face.,Let's focus on finding solutions for the team morale issue rather than dwelling on what's already happened.,1,Stay curious instead of jumping into advice mode. This response keeps Patricia feeling safe to explore her thoughts without pressure to defend her decisions.,8ff9f6ae-42e9-43af-a8a3-39f8066a2df0,9f6e38cc-8f1b-4ab9-b019-a5f5be0c3132,1.0,true
00000000-0000-0000-0000-000000000001,5,"Nicole, a real estate agent, mentions having a 'situation with a client' but then becomes vague, avoiding eye contact and changing the subject when you ask for more details about what happened.",How do you best navigate Nicole's reluctance to share while practicing active listening?,Let's move on to something else that might be easier for you to discuss right now.,"Nicole, I can sense there might be more to this client situation. What feels safe to share right now?",It's completely okay if you don't want to talk about this - we all have things we prefer to keep private.,"Sometimes it really helps to talk through these difficult client situations, even when it feels uncomfortable.",2,"When someone seems hesitant to share, gently acknowledging what you sense while respecting their boundaries often helps them feel safer to open up.",8ff9f6ae-42e9-43af-a8a3-39f8066a2df0,9f6e38cc-8f1b-4ab9-b019-a5f5be0c3132,1.0,true
00000000-0000-0000-0000-000000000001,6,"David, a software engineer who was recently laid off, slumps in his chair and says: 'I always mess things up. I probably said something wrong in my last performance review that led to this.'",Which question would most powerfully challenge David's limiting belief?,What specifically happened in that performance review that concerns you?,Why do you think you have this pattern of self-sabotage?,How long have you been carrying this story about yourself?,What would someone who truly knows your capabilities say about this situation?,4,Sometimes we're our own worst critic. This question helps David step outside his harsh self-talk by imagining what someone who truly knows his strengths would say.,d4477ae7-e3ce-428c-bb1d-235c89e7f05c,9f6e38cc-8f1b-4ab9-b019-a5f5be0c3132,1.0,true
00000000-0000-0000-0000-000000000001,7,"Jennifer, a nurse practitioner, is considering leaving her stable hospital job to open her own wellness practice. She's torn between financial security and pursuing her passion for holistic medicine.",Which question would best help Jennifer connect with what truly matters to her?,What do you think would be the financially smarter decision?,What matters most to you about how you want to spend your professional life?,What would your family and colleagues advise you to do?,What are the financial risks versus benefits of each option?,2,"This cuts through all the external noise and gets to the heart of what really matters to Jennifer. It's about her authentic desires, not everyone else's expectations.",d4477ae7-e3ce-428c-bb1d-235c89e7f05c,9f6e38cc-8f1b-4ab9-b019-a5f5be0c3132,1.0,true
00000000-0000-0000-0000-000000000001,8,"Michael, a recent college graduate, is paralyzed between accepting a well-paying consulting job his parents approve of or pursuing his dream of teaching abroad with the Peace Corps for much less money.",Which question would best help Michael access his authentic desires beyond external expectations?,Which option do you think would make your parents prouder?,What does your gut instinct tell you about each path?,"If you close your eyes and imagine yourself in each role, which one feels more aligned with who you're becoming?",Which choice would be easier to defend to your family?,3,"This question invites Michael to feel into his future, not just think about it. Our bodies often know the right answer before our minds catch up.",d4477ae7-e3ce-428c-bb1d-235c89e7f05c,9f6e38cc-8f1b-4ab9-b019-a5f5be0c3132,1.0,true
00000000-0000-0000-0000-000000000001,9,"Carlos, a middle manager, keeps asking what you think he should do about his underperforming team member. He's looking for direct advice and seems frustrated when you redirect back to him, saying 'I just need someone to tell me the right answer.'",How do you respond to Carlos's request for advice while empowering him to find his own solution?,"Carlos, what would need to be true for you to feel completely confident in your approach with this team member?","Based on what you've shared, here's exactly what I think you should do with this employee...",Most managers in your situation would probably start with a formal performance improvement plan.,You seem to already know what needs to happen - what's holding you back from taking action?,1,"Instead of giving Carlos the fish, this question helps him learn to fish. It focuses on building his confidence rather than creating dependence on your advice.",d4477ae7-e3ce-428c-bb1d-235c89e7f05c,9f6e38cc-8f1b-4ab9-b019-a5f5be0c3132,1.0,true
00000000-0000-0000-0000-000000000001,10,"Rachel, a talented graphic designer, sighs and says: 'I'm just not leadership material. I've never been good at managing people or making big decisions. Maybe I should just stay in my current role forever.'",How do you challenge Rachel's limiting belief while maintaining a supportive coaching relationship?,"Rachel, what would you tell a dear friend who shared these exact same doubts about their capabilities?",You're being too hard on yourself - you need to stop thinking so negatively about your potential.,Why do you always jump to worst-case scenarios about your leadership abilities?,"Rachel, what might become possible if this belief about not being leadership material wasn't actually true?",4,"This gently challenges Rachel's limiting story without making her feel wrong. It opens up new possibilities by questioning the belief itself, not attacking it.",d4477ae7-e3ce-428c-bb1d-235c89e7f05c,9f6e38cc-8f1b-4ab9-b019-a5f5be0c3132,1.0,true
00000000-0000-0000-0000-000000000001,11,"During a session with Elena, a busy executive, you catch your mind drifting to your own challenges with work-life balance as she describes her 60-hour work weeks and missing her daughter's soccer games.",What's your best response when you notice your attention has wandered in this present moment?,Continue listening and hope Elena doesn't notice your distraction.,Gently redirect your full attention back to Elena without judgment.,Ask Elena to pause and repeat what she just shared with you.,Start taking detailed notes to help you stay more focused.,2,Mind wandering happens to everyone! The key is catching it quickly and coming back without beating yourself up. Self-compassion keeps you present for your client.,f1c88df8-cfec-4e1c-85d0-327fdb23af61,9f6e38cc-8f1b-4ab9-b019-a5f5be0c3132,1.0,true
00000000-0000-0000-0000-000000000001,12,"Lisa, a project manager, started the session enthusiastically discussing her new role. Halfway through, when you ask about her team dynamics, her posture changes, she looks down, and her voice becomes quieter and more hesitant.",How should you address Lisa's visible shift in energy and body language?,Continue discussing her new role without mentioning the change you observed.,"Ask directly: ""Why did your energy just change when I asked about your team?""","Share your observation: ""Lisa, I noticed your energy shifted when we moved to team dynamics. What's happening for you?""",Save your observation for the end of the session to avoid interrupting her flow.,3,Bodies often tell the truth before words do. Gently sharing what you notice helps Lisa become aware of her own signals and what they might mean.,f1c88df8-cfec-4e1c-85d0-327fdb23af61,9f6e38cc-8f1b-4ab9-b019-a5f5be0c3132,1.0,true
00000000-0000-0000-0000-000000000001,13,"Robert, a financial advisor, is mid-sentence explaining his frustration with a difficult client when he suddenly stops talking, stares out the window, and appears to be thinking deeply about something.",How do you best support Robert in this moment of internal processing?,Ask him what's going through his mind to keep the conversation moving forward.,Hold the silence and create space for whatever insight might be emerging.,Offer your perspective on what he might be realizing about the situation.,Summarize what he's shared about the difficult client to refocus the conversation.,2,Sometimes the most powerful thing you can do is absolutely nothing. Silence gives Robert space for his own insights to emerge naturally.,f1c88df8-cfec-4e1c-85d0-327fdb23af61,9f6e38cc-8f1b-4ab9-b019-a5f5be0c3132,1.0,true
00000000-0000-0000-0000-000000000001,14,"Amanda, a high school teacher, is describing a conflict with her principal. While her words are factual and measured, you notice her jaw is clenched, her hands are fidgeting, and there's tension in her shoulders.",How do you best help Amanda become aware of what her body is communicating?,Tell her directly that she seems angry or frustrated about the situation.,"Ask Amanda: ""How are you feeling right now as you talk about this?""","Share your observation: ""Amanda, I'm noticing tension in your body as you describe this conflict. What are you aware of?""",Focus only on the factual content she's sharing rather than her physical responses.,3,Our bodies hold so much wisdom! Pointing out Amanda's physical tension helps her tune into messages she might be missing from her own nervous system.,f1c88df8-cfec-4e1c-85d0-327fdb23af61,9f6e38cc-8f1b-4ab9-b019-a5f5be0c3132,1.0,true
00000000-0000-0000-0000-000000000001,15,"Tom, a sales manager, has mentioned in three separate sessions that when faced with conflict, he either completely avoids the conversation or immediately becomes defensive. He doesn't seem to recognize this pattern himself.",How do you best help Tom become aware of his unconscious conflict pattern?,"Tell him directly: ""Tom, you keep avoiding conflict or getting defensive - you need to see this pattern.""","Ask: ""Tom, what do you notice about how you typically respond when conflict arises?""",Wait for him to figure out the pattern on his own without your intervention.,"Ask: ""What patterns are you noticing in how you handle challenging conversations?""",4,"Help Tom become the observer of his own patterns. When people discover their habits themselves, they're more likely to actually change them.",f1c88df8-cfec-4e1c-85d0-327fdb23af61,9f6e38cc-8f1b-4ab9-b019-a5f5be0c3132,1.0,true
